제목,링크,본문,썸네일
"카카오, 입점업체에 ‘무료배송 강제’ 92억 자진시정안 내고 제재 피했다",https://n.news.naver.com/mnews/article/032/0003384258,"카카오.


‘카카오톡 선물하기’ 입점업체에 무료배송을 강제하고 수수료를 떼간 혐의를 받는 카카오가 92억원 상당의 자진시정안을 내고 공정거래위원회의 제재를 피하게 됐다. 얖으로 입점업체들에게는 배송방식 표기 선택권이 생긴다.

공정위는 카카오의 대규모유통업법 위반 혐의와 관련한 동의의결안을 최종 확정했다고 21일 밝혔다. 동의의결은 법 위반 혐의로 조사를 받는 기업이 자진시정안을 제출하면 이를 심사해 법 위반 여부를 따지지 않고 사건을 종결하는 제도다.

공정위에 따르면 카카오는 ‘카카오 선물하기’에 입점한 납품업자에게 무료배송 방식을 강제해왔다. 배송비용을 따로 받거나 조건부 무료로 받는 등 선택권을 제공하지 않은 것이다. 이후 배송비용이 포함된 판매가격을 기준으로 판매수수료를 책정해 받았다. ‘7000원’ 짜리 상품에 배송비용이 3000원이라면 판매가격을 1만원으로 설정하게 하고 ‘1만원’에 대한 수수료를 더 떼간 것이다.

공정위가 조사에 나서자 카카오는 지난해 10월 자진시정안을 마련해 동의의결을 신청했다. 공정위는 심사를 거쳐 지난 1월 동의의결 절차 개시를 인용했다. 이후 산업통상자원부와 입점업체 측 등의 의견수렴 절차를 거쳐 최종안을 마련했다.

최종안을 보면, 우선 납품업자가 상품가격에 배송 비용을 포함할지 여부를 자유롭게 결정할 수 있도록 했다. 입점업체는 앞으로 판매가격와 배송 비용을 별도로 책정한 후 판매가격에 대해서만 수수료를 부담하는 유료배송 방식도 택할 수 있다. 다만 이 경우에도 기존에 배송비가 따로 표기될 뿐으로 소비자는 이전과 동일한 가격으로 상품을 구매할 수 있다고 공정위는 설명했다.

카카오는 남품업자에 92억원 상당의 각종 수수료 및 마케팅 지원도 약속했다. 수수료 부담을 위해 전자지급결제대행 수수료를 인하하고, 위탁판매 수수료도 동결한다. 배송비용에 대한 결제대금 수수료는 부과하지 않기로 했다. 할인 마케팅을 진행하고 할인 금액을 보전해주는 방안과, 광고를 위한 무상캐시를 지급하는 방안도 추진할 계획이다.

카카오는 납품업자 관련 업무를 하는 임직원을 대상으로 공정거래 교육 및 공정거래 자율준수 프로그램 도입(CP)도 도입한다.

공정위는 납품업자가 무료배송 방식을 선호하는 최근 경향과 카카오가 시정방안을 신속히 이행하는 것이 납품업자에 이익이 되고 공익에도 부합한다는 점 등을 종합적으로 고려해 최종 판단을 내렸다고 밝혔다.

공정위 관계자는 “향후 공정거래조정원과 함께 본 건의 이행 사항을 면밀하게 점검할 계획”이라고 했다.",https://imgnews.pstatic.net/image/032/2025/07/21/0003384258_001_20250721170010254.png?type=w800
소비쿠폰 신청 시작…오늘은 출생연도 끝자리 1·6,https://n.news.naver.com/mnews/article/056/0011992949,"소비쿠폰 신청 시작…오늘은 출생연도 끝자리 1·6
KBS뉴스
재생
233
00:44



1인당 15만 원에서 최대 55만 원까지 지급되는 민생회복 소비쿠폰 1차 신청이 오늘(21일)부터 시작됐습니다.

행정안전부는 오늘 오전 9시부터 9월 12일 오후 6시까지 온라인과 오프라인을 통해 1차 신청을 받는다고 밝혔습니다.

신청 첫 주에는 요일제를 운영해 출생 연도 끝자리가 1·6인 경우 월요일, 2·7은 화요일, 3·8은 수요일, 4·9는 목요일, 5·0은 금요일에 신청할 수 있고 주말에는 온라인 신청만 가능합니다.

소비쿠폰은 신용카드와 체크카드, 선불카드, 지역사랑상품권 중 원하는 방식으로 지급받을 수 있으며, 사용 기한은 11월 30일까지입니다.

■ 제보하기
▷ 전화 : 02-781-1234, 4444
▷ 이메일 : kbs1234@kbs.co.kr
▷ 카카오톡 : 'KBS제보' 검색, 채널 추가
▷ 네이버, 유튜브에서 KBS뉴스를 구독해주세요!",https://imgnews.pstatic.net/image/056/2025/07/21/0011992949_001_20250721151925724.jpg?type=w800
"CJ제일제당, 일본 젊은층 잡는다…‘돈키호테’에 비비고 전용매대",https://n.news.naver.com/mnews/article/009/0005528514,"김스낵·컵우동·국물요리 첫선


일본 도쿄 나카메구로에 위치한 돈키호테 매장에서 소비자가 비비고 전용 매대를 살펴보는 모습. [사진 출처 = CJ제일제당]
CJ제일제당은 일본의 대형 할인매장 ‘돈키호테’에 비비고 브랜드 전용 매대가 입점했다고 21일 밝혔다.

CJ제일제당은 돈키호테 전용 매대를 통해 현지 소비자와 해외 관광객을 대상으로 비비고 브랜드의 인지도와 경험률을 높인다는 전략이다.

비비고 매대는 약 200개 돈키호테 매장에 설치됐는데 올해 안에 전체 매장으로 확대된다. CJ제일제당은 돈키호테 운영사 팬퍼시픽인터내셔널홀딩스의 다른 유통 매에도 단독 매대를 설치할 계획이다.

돈키호테 비비고 전용 매대에서는 비비고 김스낵·컵우동·국물요리·불고기소스와 1분링 등 일본에서는 처음으로 선보이는 17종의 제품을 판매한다.

일본 젊은 층이 주로 이용하는 돈키호테에서 새 품목의 현지 시장 성공 가능성을 확인하기 위해서다.

매대 디자인에는 ‘맛있다’, ‘냠냠’ 등 한글 문구와 N서울타워, 남대문 등 서울의 관광 명소 이미지를 넣어 소비자들의 시선을 끌도록 했다.

돈키호테는 일본의 대형 할인매장 체인으로 식품·생활용품·주류·의약품 등 다양한 품목을 저렴한 가격에 판매해 큰 인기를 끌고 있다.

CJ제일제당 관계자는 “비비고 전용 매대를 통해 더 많은 현지 소비자에게 비비고 K푸드를 선보일 수 있게 됐다”며 “해외 유통 업체들과의 협업을 강화해 글로벌 K푸드 영토 확장에 앞장설 것”이라고 말했다.

CJ제일제당은 최근 일본에서 음식 등 생활문화 전반으로 확산하는 ‘K트렌드’를 미래 성장의 기회라고 판단해 약 1천억원을 투자해 신규 만두 공장을 구축하는 등 현지 사업을 확대하는 데 집중하고 있다.

일본 치바현 키사라즈시에 연면적 약 8200㎡ 규모로 건설 중인 새 공장은 최첨단 생산설비를 갖추고 오는 9월부터 비비고 만두를 생산해 일본 전역에 공급할 예정이다.

현재 일본에서는 CJ제일제당의 비비고 만두, 냉동김밥, K-소스 등이 이온, 코스트코, 아마존, 라쿠텐 등 주요 유통채널에서 판매되고 있다.",https://imgnews.pstatic.net/image/009/2025/07/21/0005528514_001_20250721164109220.jpg?type=w800
스테이블코인 뭐길래... 전망은[Q&AI],https://n.news.naver.com/mnews/article/092/0002382919,"질문: 스테이블 코인이 뭐고, 왜 핫한지, 전망까지 종합해서 알려줘.

그록 답변:

스테이블 코인이란?

스테이블 코인(Stablecoin)은 가격 변동성을 최소화하도록 설계된 암호화폐로, 일반적으로 특정 자산(예: 미국 달러, 금, 기타 법정화폐)이나 알고리즘에 의해 가치가 고정된다. 비트코인(BTC)이나 이더리움(ETH) 같은 일반 암호화폐와 달리, 스테이블 코인은 가격 안정성을 유지해 일상 거래, 가치 저장, 디지털 경제 내 결제 수단으로 사용된다.

주요 유형

법정화폐 담보형 (Fiat-backed): 달러, 유로 등 법정화폐를 담보로 발행. 예: USDT(테더), USDC.

암호화폐 담보형 (Crypto-backed): 다른 암호화폐로 담보. 예: DAI (이더리움 기반).

알고리즘형 (Algorithmic): 스마트 컨트랙트와 알고리즘으로 공급을 조절해 가격을 안정화. 예: 초기 UST (테라, 현재는 붕괴).

상품 담보형 (Commodity-backed): 금, 은 등 실물 자산에 연동.

왜 핫한가?

스테이블 코인은 암호화폐 생태계와 전통 금융을 연결하는 다리 역할을 하며, 다음과 같은 이유로 주목받는다:

가격 안정성: 암호화폐의 높은 변동성을 회피하며, 결제나 송금, 투자에 안정적인 대안 제공.

디지털 경제의 핵심: DeFi(탈중앙금융) 플랫폼에서 유동성 제공, 대출, 스테이킹 등에 필수적. 예: USDC는 DeFi 프로토콜에서 널리 사용.

글로벌 송금: 기존 은행 시스템보다 빠르고 저렴하게 국경 간 송금 가능.

중앙은행 디지털화폐(CBDC)와의 연계: 각국 중앙은행이 CBDC를 개발하며 스테이블 코인의 기술적 기반과 유사성을 공유.

기관 투자자 유입: 블랙록, 페이팔 같은 대기업이 스테이블 코인 시장에 진입하며 신뢰도 상승. 예: 페이팔은 2023년 PYUSD 발행.

규제와 신뢰: USDC처럼 감사받는 스테이블 코인은 투명성 강화로 투자자 신뢰 확보.

최근 동향

시장 규모: 2025년 기준, 스테이블 코인 시장은 약 2,000억 달러 규모로 추정(코인마켓캡 데이터). USDT가 약 50% 이상 점유.

X 플랫폼 반응: X에서 스테이블 코인은 DeFi, CBDC, 규제 논쟁의 중심. 특히 USDT와 USDC의 투명성 논쟁과 알고리즘형 코인의 리스크가 화제.

핫한 이유: 비트코인 ETF 승인(2024년) 이후 암호화폐 시장이 활황을 맞으며, 스테이블 코인은 시장 안정성과 유동성 제공의 핵심 자산으로 부각.

전망

긍정적 전망

DeFi와 Web3 성장: 스테이블 코인은 DeFi와 NFT, 메타버스 등 Web3 경제의 주요 통화로 자리 잡을 가능성.

기관 채택 증가: 페이팔, 비자 등 결제 기업이 스테이블 코인을 결제 수단으로 통합하며 대중화 가속.

CBDC와 공존: 각국 CBDC 개발이 스테이블 코인의 기술적 기반을 활용하며 시장 확대.

신흥국 수요: 변동성 높은 법정화폐를 사용하는 국가에서 스테이블 코인이 대체 화폐로 주목(예: 남미, 아프리카).

부정적 전망과 리스크

규제 리스크: 미국, EU 등에서 스테이블 코인 규제 강화(예: MiCA 규제, 2024년 EU 시행). 발행사의 투명성 문제(USDT 논란)로 신뢰 하락 가능.

알고리즘형 코인 붕괴 위험: UST 붕괴(2022년)처럼 알고리즘형 스테이블 코인은 시스템적 리스크 내포.

경쟁 심화: CBDC와의 경쟁, USDT·USDC 간 점유율 다툼으로 시장 분열 가능.

기술적 취약점: 스마트 컨트랙트 해킹, 네트워크 정체 등 기술적 문제로 신뢰도 저하 가능.

중장기 전망

시장 성장: 2030년까지 스테이블 코인 시장은 1조 달러를 초과할 가능성(일부 애널리스트 예측).

규제 명확화: 규제가 명확해지면 기관 참여가 늘어나며 시장 안정화.

CBDC와의 융합: CBDC가 스테이블 코인의 대안으로 부상하더라도, 민간 스테이블 코인은 틈새 시장(DeFi, 크로스보더 결제)에서 지속 성장.

기술 발전: 알고리즘형 코인의 안정성 개선, 블록체인 상호운용성 강화로 사용성 확대.

결론

스테이블 코인은 암호화폐와 전통 금융을 잇는 핵심 자산으로, 가격 안정성과 유동성 덕분에 DeFi, 결제, 송금 등 다양한 분야에서 필수적이다. 현재 시장은 USDT, USDC 중심으로 성장 중이며, 규제와 기술 발전에 따라 중장기적으로도 잠재력이 크다. 그러나 규제 불확실성과 알고리즘형 코인의 리스크는 주의가 필요하다. X 플랫폼과 웹 데이터를 종합할 때, 스테이블 코인은 여전히 뜨거운 논쟁거리이며, 앞으로도 암호화폐 생태계의 핵심으로 주목받을 전망이다.

■ 해당 기사는 그록을 활용해 작성되었습니다. (☞ 원문 바로가기)",https://imgnews.pstatic.net/image/092/2025/07/21/0002382919_001_20250721165611688.jpg?type=w800
"구윤철 부총리 ""최대한 빨리 '방미' 협의…생활물가 안정화 단기 과제""",https://n.news.naver.com/mnews/article/079/0004047184,"핵심요약
구윤철 경제부총리 겸 기획재정부 장관, 21일 취임
구윤철 부총리, 기재부 혁신을 위한 5가지 방안 제시
""수해 피해 등으로 생활물가 안정화해야…단기 과제""
구윤철 부총리. 윤창원 기자

구윤철 경제부총리 겸 기획재정부 장관이 미국과 관세 협상을 최대한 빠르게 협의하겠다고 밝혔다.

구 부총리는 21일 오전 정부세종청사에서 취임식을 한 뒤 기자들과 만나 미국 방문 계획과 관련해 ""미국과 협의하고 있다""며 ""협의가 되는 대로 최대한 빨리 만나 한국 상황을 설명하고 이해를 구해서 관세 협상이 최대한 잘되도록, 국익과 실용에 맞게 되도록 노력하겠다""고 말했다.

미국이 제시한 상호관세 유예기한이 다음 달 1일까지인 만큼 협상 진척 상황에 따라 이번 주 미국을 방문할 가능성도 있다.

이날 취임식에서 '혁신'을 강조한 구 부총리는 단기적 과제로는 생활물가 안정화를 꼽았다.

그는 ""수해 등의 상황으로 인해 물가, 특히 생활물가 부분에 대해 안정화해야 한다""고 강조했다.

앞서 이날 오전 구 부총리는 정부세종청사 중앙동에서 열린 취임식에서 '부총리와 함께하는 혁신 첫걸음-기재부가 달라졌어요'를 주제로 강연하며 ""'주식회사 대한민국'의 핵심 사원으로 다른 부처에는 파트너로, 혁신적으로 다시 태어나는 기획재정부가 돼야 한다""면서 기재부의 혁신을 위한 5가지 방안을 제시했다.

그는 직원들에게 ""'주식회사 대한민국'의 핵심 사원이자 다른 부처에는 파트너가 되자""고 말했다. 구 부총리는 또 다른 관계부처와의 협력과 융합, 현장 중심의 사고와 문제 해결법, 혁신적 아이디어와 업무의 결합 등도 강조했다.



※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.
이메일 : jebo@cbs.co.kr
카카오톡 : @노컷뉴스
사이트 : https://url.kr/b71afn",https://imgnews.pstatic.net/image/079/2025/07/21/0004047184_001_20250721145310536.jpg?type=w800
LG AI연구원 공동 원장에 이홍락 부사장·임우형 상무,https://n.news.naver.com/mnews/article/422/0000762138,"LG AI연구원 신임 공동 원장 이홍락 부사장 [LG AI연구원 제공. 재판매 및 DB 금지]

LG AI연구원은 신임 공동 연구원장에 이홍락 부사장(CSAI, 최고AI과학자)과 임우형 상무(선임 랩장 겸 데이터 인텔리전스 랩장)를 선임했다고 오늘(21일) 밝혔습니다.

이홍락 원장은 세계 10대 인공지능(AI) 연구자로 선정될 만큼 머신러닝과 딥러닝 분야에서 탁월한 권위를 인정받고 있는 석학입니다.

미국 미시간주 앤아버에 있는 연구원 산하 'LG 글로벌AI센터'를 이끌며 차세대 인공지능 기술 개발과 글로벌 AI 생태계 확장을 위한 연구를 주도했으며, 현재 미시간대 컴퓨터공학과 교수도 맡고 있습니다.

이 원장은 미국 현지에서 AI 연구조직을 이끌며 선진 AI 기술을 LG AI연구원에 접목하고 글로벌 AI 인재를 발굴할 예정입니다.

LG AI연구원 신임 공동 원장 임우형 상무 [LG AI연구원 제공. 재판매 및 DB 금지]


임우형 원장은 머신러닝과 음성인식 분야 전문가로 자체 AI 모델 '엑사원'을 활용한 AI 응용연구를 해오면서 계열사 사업 및 산업 현장의 다양한 난제를 해결해왔습니다.

임 원장은 국내에서 연구원 운영 전반을 맡으며 엑사원 기반의 AI 서비스를 확대하는 역할을 수행할 예정입니다.

이번 인사는 배경훈 전 원장이 새정부 첫 과학기술정보통신부 장관으로 임명된 데 따른 것입니다.

LG는 두 명의 신임 공동 연구원장이 시너지를 내면서 AI를 통한 LG의 사업 혁신을 이끌 것으로 기대했습니다.

#LG #AI연구원 #인공지능

연합뉴스TV 기사문의 및 제보 : 카톡/라인 jebo23",https://imgnews.pstatic.net/image/422/2025/07/21/AKR20250721160747495_01_i_20250721160817604.jpg?type=w800
"설계사 '스카우트 경쟁' 격화에, 범보험 '신사협정' 예고",https://n.news.naver.com/mnews/article/030/0003333496,"이미지=게티이미지뱅크

보험업계에서 영업조직을 확대하기 위한 설계사 영입 경쟁이 격화되고 있다. 보험사와 보험대리점(GA) 간 갈등이 이어지면서 생명·손해보험사와 GA를 아우르는 통합 상호협정이 검토되고 있다.

21일 보험업계에 따르면 이달 교보생명은 일부 GA에게 제휴계약을 해지하거나 향후 갱신을 거절할 수 있다는 내용의 공문을 전달했다.

공문에서 교보생명은 부당 스카우트로 인해 금융소비자 피해가 발생할 수 있고, 보험시장 모집 질서가 문란해질 수 있다고 우려했다. GA에서 교보생명 소속 설계사를 부당하게 스카우트해 가는 사례가 발생하자 항의한 것으로 해석된다.

설계사 영입 경쟁으로 인한 갈등은 최근 보험 영업현장에서 빈번하게 발생하고 있다. 작년엔 삼성생명이 대형GA와 제휴계약을 해지했으며, 메트라이프생명은 타 GA로 이직한 관리자들과 소송을 진행하고 있는 상태다.

실제 금융감독원 검사 결과, 설계사 100인 이상 GA에서 설계사를 스카우트하기 위해 지급한 정착지원금 지출금액이 올해 1분기 1003억원으로 직전 분기(838억원) 대비 19.7%나 증가한 것으로 집계됐다.

이는 현재 보험사와 GA 간 설계사 이동에 별다른 제약이 없기 때문이다. GA업계 내부에선 GA협회를 중심으로 과도한 설계사 영입 경쟁을 방지하기 위한 자율협약이 맺어진 상태지만, 협약에 보험사는 포함되지 않는다.

즉 보험사가 스카우트 비용을 들여 GA 소속 설계사를 영입하거나, GA가 보험사 소속 설계사를 영입하는 데에는 제한이 없다는 의미다.

설계사 이직으로 인한 갈등이 지속되면서 새 정부에서 범보험업권 상호협정이 검토되고 있다. 이재명 정부는 앞서 출범전 정책공약에서 생명보험, 손해보험, 보험대리점을 아우르는 통합 상호협정 체결을 통해 시장질서 확립을 유도하겠다고 밝힌 바 있다.

금융위원회도 보험업법 개정을 통해 상호협정 대상에 GA를 포함하는 방식을 고려하고 있다. 현행 보험업법 제125조에선 업계 공동행위를 위한 상호협정 대상을 보험사로 한정하고 있어 보험대리점은 제외돼 있다. 협정을 위해선 보험업법 개정이 선행돼야 한다.

전문가들은 과도한 설계사 영입 경쟁이 소위 보험 갈아타기로 이어져 보험소비자 피해를 야기할 개연이 크다고 보고 있다. 부당승환뿐 아니라 특별이익 제공과 허위·가공계약, 고아계약 등을 양산해 보험산업 전반에 대한 신뢰도를 저해할 수 있다.

한 보험사 관계자는 “수년간 설계사 교육에 투자해도 다른 영업조직에서 스카우트해 가는 일이 발생하고 있다”며 “회사 손해 외 소비자 보호를 위해서라도 최소한의 안전장치는 필요할 것으로 보인다”고 말했다.

자료=제21대 대통령선거 더불어민주당 정책공약집",https://imgnews.pstatic.net/image/030/2025/07/21/0003333496_001_20250721172441405.jpg?type=w800
"셀트리온 1000억 규모 자사주 매입 ""주가 저평가 대응""",https://n.news.naver.com/mnews/article/014/0005380097,"성장에 대한 확신과 기업가치 저평가 판단
올해 8번째 자사주 매입 총 7500억 매입해
셀트리온 연구원이 바이오시밀러 물질을 살펴보고 있다. 셀트리온 제공

[파이낸셜뉴스] 셀트리온은 이사회를 통해 약 1000억원 규모의 추가 자사주 매입을 결정했다고 21일 밝혔다.

오는 22일부터 장내매수 방식으로 진행할 예정이다.

셀트리온은 기업 성장에 대한 굳건한 확신과 기업의 내재된 가치가 시장에서 과도하게 저평가되고 있다는 판단에 따라 자사주 매입을 지속하고 있다.

특히 주주가치 극대화를 최우선 가치로 삼아 자사주 매입과 소각 등 주주친화 정책을 일관되게 이어가는 중이다. 이번 건을 포함하면 올해에만 8차례에 걸쳐 약 7500억원 규모의 자사주를 매입했다. 올해 완료한 자사주 소각 규모는 약 9000억원에 이른다.

아울러 지난 4일에는 셀트리온그룹 지주회사 셀트리온홀딩스도 신규 재원 확보, 기업가치 제고를 위해 두 차례에 걸쳐 총 5000억원 규모로 셀트리온 주식을 매입키로 했다.

셀트리온홀딩스는 지난 4월에도 1000억원 규모의 셀트리온 주식 취득을 결정하고, 셀트리온그룹 서정진 회장과 그룹내 계열사 셀트리온스킨큐어도 함께 각 500억원 규모의 주식 취득을 결정하며 주주가치 제고에 힘을 실은 바 있다. 나아가 전 임직원도 약 400억원 규모의 우리사주 매입에 동참했다.

셀트리온은 주주환원과 더불어 기업가치 향상에도 힘을 쏟고 있다. 셀트리온은 지난해 역대 최대 규모인 3조5573억원 연매출을 달성하고, 올해 1·4분기 역대 최대 매출을 기록한 데 이어 이날 9615억원 규모의 2·4분기 매출액과 2425억원 규모의 영업이익을 잠정 공시하며 지속적인 성장세를 알렸다. 매출액과 영업이익 모두 2·4분기 역대 최대치다.

또한 셀트리온은 미래 먹거리 확보를 위해 항체약물접합체(ADC), 다중항체 등 차세대 신약개발에 매진하는 중이다.

오는 2028년까지 ADC 분야에서 9개, 다중항체 분야에서 4개 등 총 13개의 후보물질에 대한 임상시험계획(IND)을 제출한다는 목표다. 세계 최초의 항체 바이오시밀러 개발 등 항체 영역에서 축적한 노하우를 바탕으로 신약 포트폴리오를 빠르게 확장한다는 계획이다.

셀트리온 관계자는 “이번 자사주 매입 결정은 회사의 미래가치에 대한 확신을 갖고 투자자분들과 함께 성장해 나가겠다는 의지를 보여주는 것”이라며 “적극적인 주주환원 정책과 함께 지속적인 혁신, 글로벌 시장 점유율 확대를 통해 ‘글로벌 빅파마’ 도약을 가속화하겠다”고 밝혔다.",https://imgnews.pstatic.net/image/014/2025/07/21/0005380097_001_20250721161513261.jpg?type=w800
"코스피, 외인 매수에 소폭 상승세…코스닥 보합권 등락",https://n.news.naver.com/mnews/article/015/0005160375,"사진=연합뉴스

코스피지수가 21일 외국인 투자자의 매수세에 소폭 상승세를 나타내고 있다. 다만 SK하이닉스 등 주요 기업의 실적 발표를 앞둔 경계감에 상승폭은 제한적인 모습이다.

이날 오전 9시7분 현재 코스피지수는 전 거래일보다 13.99포인트(0.44%) 오른 3202.06을 기록하고 있다. 지수는 이날 0.1% 오름세로 출발 후 상승폭을 소폭 확대해 3200선을 재진입하는 데 성공했다.

유가증권시장에서 외국인과 기관이 각각 936억원과 31억원 매수 우위인 반면 개인은 978억원 매도 우위다.

코스피 시가총액 상위 종목은 대체로 상승세다. 삼성전자, LG에너지솔루션, 한화에어로스페이스, KB금융, 기아, 네이버, HD현대중공업 등이 오르는 반면 삼성바이오로직스, 두산에너빌리티 등이 내리고 있다. 셀트리온은 올 2분기 역대 최대 실적을 기록했다는 소식에 장중 한때 4%대 강세를 보였다.

같은 시각 코스닥지수는 전 거래일보다 1.59포인트(0.19%) 오른 822.26을 나타내고 있다. 지수는 이날 0.1% 하락 출발 후 약 2분 만에 상승 전환해 보합권에서 등락을 보이고 있다.

코스닥시장에서는 개인과 기관이 각각 92억원과 23억원 매수 우위인 반면 외국인은 98억원 매도 우위다.

코스닥 시총 상위 종목 중 펩트론, 에코프로, 삼천당제약, 클래시스 등이 오르는 반면 알테오젠, 에코프로비엠, HLB, 파마리서치, 레인보우로보틱스, 리가켐바이오, 휴젤 등이 내리고 있다.

폰트 개발사 산돌은 100% 무상증자를 결정했다는 소식 이후 주가가 10%대 급등세다.

서울 외환시장에서 원·달러 환율은 전장보다 0.9원 내린 1392.1원으로 개장했다.",https://imgnews.pstatic.net/image/015/2025/07/21/0005160375_001_20250721091812770.jpg?type=w800
카드사 접속 폭증에 먹통…민생쿠폰 신청 첫날,https://n.news.naver.com/mnews/article/374/0000452769,"[앵커] 

민생회복을 위한 1차 소비쿠폰 신청이 오늘(21일)부터 시작됐습니다. 

첫날 신청이 폭주하면서 일부 카드사 앱 접속에 차질도 빚어지고 있는데요. 

복잡한 소비쿠폰 신청, 방법과 유의사항에 대해 자세히 알아보겠습니다. 

신성우 기자, 그러면 오늘은 누가 신청할 수 있나요? 

[기자] 

출생연도 끝자리가 '1 또는 6'이면 신청할 수 있습니다. 

출생연도 끝자리에 따라 신청할 수 있는 요일이 나뉘는데요. 

예를 들어 1972년생이면 내일(22일) 신청이 가능하고, 1969년생이면 목요일에 신청하면 됩니다. 

혼잡을 막기 위해 신청 첫 주에만 요일제를 적용한 것인데요. 

그럼에도 일부 카드사 앱과 홈페이지에 접속자가 몰리면서 한때 접속이 지연되는 일이 벌어지기도 했습니다. 

소비쿠폰에 대해서 안내해 주는 행정안전부 홈페이지도 접속에 차질이 빚어졌습니다. 

[앵커] 

토요일부터는 요일에 상관없이 자유롭게 신청할 수 있죠? 

[기자] 

그렇습니다. 

9월 12일까지 신청 가능한데요. 

신청 다음날 바로 쿠폰을 받을 수 있고, 11월 30일까지 사용해야 합니다. 

국민 1인당 15만 원이 지급되고요. 

차상위계층과 한부모가족에게는 인당 30만 원, 기초생활수급자에게는 인당 40만 원을 지급합니다. 

비수도권 지역 주민과 농어촌 인구감소지역 주민은 각각 3만 원과 5만 원을 추가로 받을 수 있습니다. 

신용·체크카드, 지역사랑상품권, 선불카드 중 방법을 택할 수 있는데요. 

신용·체크카드로 지급받기를 원하면 카드사의 홈페이지와 앱을 통해, 지역사랑상품권의 경우 주소지 관할 지자체의 지역사랑상품권 앱 또는 홈페이지에서 신청하면 됩니다. 

소비쿠폰은 거주하고 있는 시, 군 내에서만 사용할 수 있는데요. 

동네마트, 시장, 프랜차이즈 가맹점 등 연 매출 30억 원 이하인 소상공인 매장에서 사용 가능하고요. 

대형마트, 프랜차이즈 직영점, 백화점 등은 사용이 제한됩니다. 

또 배달앱에서도 사용할 수 없는데, 배달원을 통한 대면 결제에 한해서라면 소비쿠폰 사용이 가능합니다. 

SBS Biz 신성우입니다.

당신의 제보가 뉴스로 만들어집니다.
SBS Biz는 여러분의 제보를 기다리고 있습니다.
홈페이지 = https://url.kr/9pghjn",https://imgnews.pstatic.net/image/374/2025/07/21/0000452769_001_20250721133714939.jpg?type=w800
